Bin1,Bin2,Bin3,Bin4,Bin5,genes,q_value,p_value
0.00073417,0.00097212,0.00076647,0.0007835,0.00073131,Oaf,0.0112077159374599,0.00020666
0.00013747,0.00025914,0.00019644,0.00016667,0.00018955,Pcdh1,0.0220436732014973,0.00058421
7.3272e-05,9.4203e-05,8.9926e-05,4.513e-05,3.8585e-05,Unc13c,0.0151723890519197,0.00034336
0.0012866,0.0015343,0.0015814,0.0012428,0.0010445,Kcnk1,0.000519015892892096,4.0133e-06
0.00070445,0.00083685,0.00075931,0.00065848,0.00055318,Gnao1,0.0177211713745212,0.00043434
0.00059666,0.00073943,0.00075255,0.00060805,0.00046029,Pmp22,0.00472168284390324,6.1787e-05
0.00016304,0.0003339,0.00073289,0.00022759,0.00012475,Pamr1,5.47140235517624e-24,8.1361e-27
0.00064835,0.00091227,0.00073757,0.00066725,0.00054935,Por,0.00111693586752051,1.0962e-05
0.0013194,0.001768,0.0014419,0.0013708,0.0014448,Ptn,0.00505247950481745,6.857e-05
8.6582e-05,0.0001198,0.00012645,0.00012322,5.7558e-05,Pigc,0.0165574126715973,0.00039394
0.00059316,0.00075302,0.00077146,0.00056227,0.00055785,P4hb,0.0138176103122639,0.00028355
0.00040681,0.00066204,0.00049509,0.00028037,0.00040994,Tnfrsf19,0.000277427938030301,1.9802e-06
0.00015162,0.00022241,0.00012964,0.0001428,0.000181,Fuca2,0.0237676821929743,0.00066445
0.0019014,0.0018901,0.0016082,0.0019347,0.0023147,Ntrk2,0.037498458188003,0.0012602
6.9128e-05,8.9581e-05,0.00010177,0.00016277,0.00021541,Paqr6,2.66784747647367e-11,7.9343e-14
0.00027977,0.00059504,0.00040814,0.00048107,0.00024326,Kirrel2,1.36604048427969e-13,3.6564e-16
0.014714,0.014367,0.014303,0.013518,0.011994,mt-Co1,8.23298180388731e-06,4.5261e-08
0.00041838,0.00045691,0.00033717,0.00057955,0.00088688,Dkk3,1.13426763098204e-10,3.7107e-13
0.0036037,0.0032689,0.0034091,0.0032785,0.003855,Ntsr2,0.0220436732014973,0.00059003
0.000367,0.00045415,0.00044302,0.00037141,0.00036099,Nwd1,0.0468169597720548,0.0016924
6.4693e-05,9.8889e-05,0.00013751,9.5004e-05,6.9411e-05,Sdhaf2,0.0341144549196705,0.0010856
5.0998e-05,0.00010091,4.4738e-05,6.0074e-05,6.0466e-05,Rfc1,0.00405172001203732,4.6995e-05
0.00020638,0.00016666,0.0001345,0.00022347,0.00029213,2310022B05Rik,0.00136563831208746,1.3809e-05
0.00047442,0.00061808,0.00059408,0.00058094,0.00040318,Wls,0.0177211713745212,0.00044183
2.5245e-05,5.9612e-05,2.6684e-05,3.126e-05,2.1612e-05,Dbndd2,0.037498458188003,0.0012591
8.3597e-05,0.00010252,7.887e-05,0.00011091,9.5188e-05,Glrx2,0.0154305051421296,0.00035795
9.4801e-05,0.00012577,0.00013915,0.0001577,0.00010046,Ints10,0.0460538962140913,0.0016299
6.8503e-05,0.00015143,8.2698e-05,6.5905e-05,7.9956e-05,Ccdc80,0.0341144549196705,0.001076
7.5286e-05,0.00015071,0.00012225,0.0001019,8.9387e-05,Fgd6,0.00809671517758163,0.00013223
1.4052e-05,1.5026e-05,8.5891e-06,1.0563e-05,5.3135e-06,Ptrhd1,0.0171732653960334,0.0004137
6.5734e-05,5.2867e-05,4.6899e-05,9.159e-05,9.7631e-05,Fezf2,0.010586121057231,0.00019205
0.0019652,0.0017915,0.0020231,0.0016096,0.0015395,mt-Rnr1,0.0389865665816385,0.0013239
0.012365,0.011427,0.01213,0.010444,0.010407,mt-Rnr2,0.0143161985442705,0.00031507
9.8511e-05,0.00015489,0.00018128,0.00011529,0.00010769,Prr5,0.02878926562617,0.00085756
0.00031215,0.00041439,0.00040203,0.00042455,0.00039874,Add1,0.02878926562617,0.00086574
0.00020464,0.0002725,0.0003405,0.00019721,0.00017002,Tank,0.00855736716235268,0.00014252
2.5365e-05,4.8891e-05,5.5009e-05,1.4676e-05,4.53e-05,Dip2b,0.0122828270437527,0.00023379
0.00010516,0.0001367,0.00013055,0.00013645,8.268e-05,Ephx1,0.0139780737818952,0.000291
0.00019158,0.0001818,0.00015214,0.00025951,0.00016752,Cyp4f13,0.0140586651962162,0.00030104
8.5748e-05,0.00011558,0.00011485,0.0001184,0.00010328,Cpne2,0.0205115729620853,0.00051852
4.4211e-05,5.7223e-05,9.9656e-05,6.1811e-05,2.9805e-05,Ago3,0.0303972760781788,0.00094019
0.002346,0.0027465,0.0024766,0.0027489,0.0024357,Slc27a1,0.0272983234801328,0.00077939
0.004856,0.0043228,0.004578,0.0043423,0.0040754,mt-Nd1,0.0122878464303778,0.00023754
0.0015803,0.0015151,0.0015376,0.0014263,0.0012321,mt-Nd4,0.0103699412531164,0.00018196
0.00028199,0.00042094,0.0003704,0.00035893,0.00028618,Tmbim1,0.0140586651962162,0.00029729
0.00040654,0.00047617,0.00037536,0.00049584,0.00054646,Hes5,0.027897713698829,0.0008048
0.00027222,0.00040868,0.00030086,0.00028008,0.00027778,Calu,0.00316936411176723,3.3933e-05
5.7687e-05,0.00015349,0.0001487,8.2899e-05,7.4277e-05,Tgfa,0.00030977332885392,2.3032e-06
0.00010258,0.00023579,0.00014985,0.00011018,0.00012291,Ppp2r5c,0.0230094599818023,0.00063641
0.0019423,0.0020688,0.0017807,0.0020332,0.002409,Mlc1,0.010586121057231,0.0001918
0.00027063,0.00037505,0.00028709,0.00027942,0.0003625,Adcyap1r1,0.02878926562617,0.00087333
0.0034025,0.0030671,0.0030064,0.0031786,0.0040819,Cd81,7.95594172432799e-07,3.5492e-09
0.00046975,0.0008124,0.00079879,0.00062162,0.00045896,Akt2,2.32442341134794e-06,1.1752e-08
3.994e-06,3.8201e-06,5.9112e-06,4.5442e-06,5.5115e-06,Gm9769,0.0293738683223718,0.0008998
0.0029556,0.0028458,0.0025304,0.0028357,0.003542,Mmd2,0.000131874239727887,9.0206e-07
