spotcounts,genes,slide,normalisedDepth,ctxdepthInterval,cell.id,ctxdepthInterval_10
11,Chrdl1,009H,0.0929312063562701,1,009H_M8b_E3_Astrocytes_238_8,1
27,Chrdl1,009H,0.0566149933074161,1,009H_M8b_E3_Astrocytes_238_9,1
6,Chrdl1,009H,0.0243897500217825,1,009H_M8b_E3_Astrocytes_238_10,1
7,Chrdl1,009H,0.0212246588304636,1,009H_M8b_E3_Astrocytes_238_11,1
8,Chrdl1,009H,0.0518012703018185,1,009H_M8b_E3_Astrocytes_238_12,1
23,Chrdl1,009H,0.0909360208890211,1,009H_M8b_E3_Astrocytes_239_3,1
5,Chrdl1,009H,0.0431637610066899,1,009H_M8b_E3_Astrocytes_239_4,1
0,Chrdl1,009H,0.032497370867213,1,009H_M8b_E3_Astrocytes_239_5,1
13,Chrdl1,009H,0.0962870897940716,1,009H_M8b_E3_Astrocytes_239_7,1
6,Chrdl1,009H,0.0603405815863797,1,009H_M8b_E3_Astrocytes_239_8,1
9,Chrdl1,009H,0.0980094904926578,1,009H_M8b_E3_Astrocytes_240_3,1
3,Chrdl1,009H,0.0720512936753217,1,009H_M8b_E3_Astrocytes_240_6,1
4,Chrdl1,009H,0.0803720931513607,1,009H_M8b_E3_Astrocytes_240_7,1
4,Chrdl1,009H,0.0776863642624779,1,009H_M8b_E3_Astrocytes_262_1,1
1,Chrdl1,009H,0.0565791703341749,1,009H_M8b_E3_Astrocytes_262_2,1
3,Chrdl1,009H,0.0468479897741011,1,009H_M8b_E3_Astrocytes_262_4,1
16,Chrdl1,009H,0.0682042675037759,1,009H_M8b_E3_Astrocytes_262_5,1
6,Chrdl1,009H,0.0302718931482954,1,009H_M8b_E3_Astrocytes_262_6,1
8,Chrdl1,009H,0.0145764978362562,1,009H_M8b_E3_Astrocytes_281_1,1
9,Chrdl1,009H,0.0167400889916735,1,009H_M8b_E3_Astrocytes_281_2,1
5,Chrdl1,009H,0.0145529653199956,1,009H_M8b_E3_Astrocytes_282_1,1
24,Chrdl1,009H,0.0346958208059833,1,009H_M8b_E3_Astrocytes_282_2,1
2,Chrdl1,009H,0.0127448925907505,1,009H_M8b_E3_Astrocytes_283_1,1
4,Chrdl1,009H,0.0182038635409049,1,009H_M8b_E3_Astrocytes_283_2,1
21,Chrdl1,009H,0.0168482003253412,1,009H_M8b_E3_Astrocytes_283_3,1
11,Chrdl1,009H,0.0313796443557291,1,009H_M8b_E3_Astrocytes_283_4,1
18,Chrdl1,009H,0.0786089857421404,1,009H_M8b_E3_Astrocytes_283_5,1
22,Chrdl1,009H,0.034368574090396,1,009H_M8b_E3_Astrocytes_283_6,1
13,Chrdl1,009H,0.0155692172082083,1,009H_M8b_E3_Astrocytes_284_1,1
0,Chrdl1,009H,0.0151863029788343,1,009H_M8b_E3_Astrocytes_284_2,1
9,Chrdl1,009H,0.0138198562431903,1,009H_M8b_E3_Astrocytes_284_4,1
6,Chrdl1,009H,0.0375480415062478,1,009H_M8b_E3_Astrocytes_284_5,1
3,Chrdl1,009H,0.0697280611132056,1,009H_M8b_E3_Astrocytes_284_6,1
8,Chrdl1,009H,0.0308475473704917,1,009H_M8b_E3_Astrocytes_284_7,1
23,Chrdl1,009H,0.0612502622561069,1,009H_M8b_E3_Astrocytes_284_8,1
6,Chrdl1,009H,0.0467799900431464,1,009H_M8b_E3_Astrocytes_300_1,1
13,Chrdl1,009H,0.0449771071740595,1,009H_M8b_E3_Astrocytes_300_2,1
11,Chrdl1,009H,0.083544353672014,1,009H_M8b_E3_Astrocytes_300_3,1
3,Chrdl1,009H,0.0422887126640996,1,009H_M8b_E3_Astrocytes_300_4,1
4,Chrdl1,009H,0.0359174608827064,1,009H_M8b_E3_Astrocytes_300_5,1
3,Chrdl1,009H,0.0247781145583868,1,009H_M8b_E3_Astrocytes_300_7,1
1,Chrdl1,009H,0.0799235702072634,1,009H_M8b_E3_Astrocytes_300_8,1
3,Chrdl1,009H,0.0229530601656412,1,009H_M8b_E3_Astrocytes_300_9,1
24,Chrdl1,009H,0.089407999626054,1,009H_M8b_E3_Astrocytes_300_12,1
17,Chrdl1,009H,0.0652726554733454,1,009H_M8b_E3_Astrocytes_300_13,1
43,Chrdl1,009H,0.0271884927000661,1,009H_M8b_E3_Astrocytes_301_1,1
4,Chrdl1,009H,0.0189798700689503,1,009H_M8b_E3_Astrocytes_302_1,1
14,Chrdl1,009H,0.0340759337389284,1,009H_M8b_E3_Astrocytes_302_4,1
3,Chrdl1,009H,0.0316343885946361,1,009H_M8b_E3_Astrocytes_302_5,1
7,Chrdl1,009H,0.0528726091228497,1,009H_M8b_E3_Astrocytes_302_7,1
2,Chrdl1,009H,0.0272569001768787,1,009H_M8b_E3_Astrocytes_302_8,1
12,Chrdl1,009H,0.0752066151241985,1,009H_M8b_E3_Astrocytes_302_9,1
17,Chrdl1,009H,0.0772360477684592,1,009H_M8b_E3_Astrocytes_302_10,1
4,Chrdl1,009H,0.0174308819052152,1,009H_M8b_E3_Astrocytes_303_1,1
9,Chrdl1,009H,0.0259624809749089,1,009H_M8b_E3_Astrocytes_303_2,1
5,Chrdl1,009H,0.0987414427080241,1,009H_M8b_E3_Astrocytes_303_3,1
6,Chrdl1,009H,0.0204659803796626,1,009H_M8b_E3_Astrocytes_303_5,1
16,Chrdl1,009H,0.0748463109316992,1,009H_M8b_E3_Astrocytes_303_7,1
4,Chrdl1,009H,0.0403513144515473,1,009H_M8b_E3_Astrocytes_328_3,1
18,Chrdl1,009H,0.0976927124909654,1,009H_M8b_E3_Astrocytes_328_6,1
5,Chrdl1,009H,0.0435182650904599,1,009H_M8b_E3_Astrocytes_329_1,1
26,Chrdl1,009H,0.070613892579105,1,009H_M8b_E3_Astrocytes_329_2,1
5,Chrdl1,009H,0.0893791645094295,1,009H_M8b_E3_Astrocytes_329_3,1
14,Chrdl1,009H,0.088668776125574,1,009H_M8b_E3_Astrocytes_330_3,1
12,Chrdl1,009H,0.0763079036438309,1,009H_M8b_E3_Astrocytes_330_4,1
15,Chrdl1,009H,0.0879256006586704,1,009H_M8b_E3_Astrocytes_330_6,1
5,Chrdl1,009H,0.0943924007890714,1,009H_M8b_E3_Astrocytes_360_5,1
14,Chrdl1,009H,0.096652306502535,1,009H_M8b_E3_Astrocytes_360_15,1
7,Chrdl1,009H,0.0873828887205148,1,009H_M8b_E3_Astrocytes_361_1,1
5,Chrdl1,009H,0.0572615020598857,1,009H_M8b_E3_Astrocytes_361_2,1
18,Chrdl1,009H,0.0860243334844741,1,009H_M8b_E3_Astrocytes_361_3,1
13,Chrdl1,009H,0.0980387414647029,1,009H_M8b_E3_Astrocytes_361_8,1
6,Chrdl1,009H,0.0120810484022783,1,009H_M8b_E3_Astrocytes_556_4,1
18,Chrdl1,009H,0.0498955507520963,1,009H_M8b_E3_Astrocytes_556_5,1
24,Chrdl1,009H,0.0790668122793616,1,009H_M8b_E3_Astrocytes_556_6,1
48,Chrdl1,009H,0.0964395584694021,1,009H_M8b_E3_Astrocytes_556_8,1
15,Chrdl1,009H,0.00735200723548579,1,009H_M8b_E3_Astrocytes_557_2,1
0,Chrdl1,009H,0.00990340335168727,1,009H_M8b_E3_Astrocytes_557_3,1
2,Chrdl1,009H,0.0103505216448709,1,009H_M8b_E3_Astrocytes_557_4,1
8,Chrdl1,009H,0.0325516697469013,1,009H_M8b_E3_Astrocytes_557_5,1
2,Chrdl1,009H,0.0105727072991831,1,009H_M8b_E3_Astrocytes_557_6,1
9,Chrdl1,009H,0.0573387170479785,1,009H_M8b_E3_Astrocytes_557_7,1
18,Chrdl1,009H,0.049006810432413,1,009H_M8b_E3_Astrocytes_557_8,1
3,Chrdl1,009H,0.0155008031822682,1,009H_M8b_E3_Astrocytes_558_1,1
2,Chrdl1,009H,0.0211598553467928,1,009H_M8b_E3_Astrocytes_558_2,1
4,Chrdl1,009H,0.0201241783070099,1,009H_M8b_E3_Astrocytes_558_3,1
0,Chrdl1,009H,0.0214448152401562,1,009H_M8b_E3_Astrocytes_558_4,1
4,Chrdl1,009H,0.0276034977067319,1,009H_M8b_E3_Astrocytes_559_2,1
6,Chrdl1,009H,0.0336040657244749,1,009H_M8b_E3_Astrocytes_559_3,1
13,Chrdl1,009H,0.0492234713601832,1,009H_M8b_E3_Astrocytes_559_4,1
5,Chrdl1,009H,0.028400703607159,1,009H_M8b_E3_Astrocytes_560_1,1
12,Chrdl1,009H,0.0499065792186581,1,009H_M8b_E3_Astrocytes_560_2,1
3,Chrdl1,009H,0.0183620818997143,1,009H_M8b_E3_Astrocytes_560_4,1
0,Chrdl1,009H,0.0210945255611007,1,009H_M8b_E3_Astrocytes_560_5,1
35,Chrdl1,009H,0.044245954279704,1,009H_M8b_E3_Astrocytes_560_7,1
22,Chrdl1,009H,0.0753058195792157,1,009H_M8b_E3_Astrocytes_560_9,1
12,Chrdl1,009H,0.0877045082182276,1,009H_M8b_E3_Astrocytes_560_10,1
5,Chrdl1,009H,0.0326783137370085,1,009H_M8b_E3_Astrocytes_560_15,1
29,Chrdl1,009H,0.0921123028379024,1,009H_M8b_E3_Astrocytes_561_1,1
28,Chrdl1,009H,0.0535307890911001,1,009H_M8b_E3_Astrocytes_561_4,1
49,Chrdl1,009H,0.090317014862191,1,009H_M8b_E3_Astrocytes_561_7,1
22,Chrdl1,009H,0.0891630196479393,1,009H_M8b_E3_Astrocytes_581_2,1
28,Chrdl1,009H,0.0887530882832478,1,009H_M8b_E3_Astrocytes_581_3,1
6,Chrdl1,009H,0.0991769608780039,1,009H_M8b_E3_Astrocytes_581_4,1
21,Chrdl1,009H,0.0819865720342805,1,009H_M8b_E3_Astrocytes_581_5,1
10,Chrdl1,009H,0.0764540607544311,1,009H_M8b_E3_Astrocytes_581_11,1
18,Chrdl1,009H,0.0256424115462953,1,009H_M8b_E3_Astrocytes_582_2,1
11,Chrdl1,009H,0.0759953160237303,1,009H_M8b_E3_Astrocytes_582_3,1
26,Chrdl1,009H,0.0480405645039686,1,009H_M8b_E3_Astrocytes_582_4,1
5,Chrdl1,009H,0.0217247376570109,1,009H_M8b_E3_Astrocytes_582_5,1
12,Chrdl1,009H,0.0706905761568416,1,009H_M8b_E3_Astrocytes_582_6,1
18,Chrdl1,009H,0.0790013988671467,1,009H_M8b_E3_Astrocytes_582_7,1
22,Chrdl1,009H,0.073690077448621,1,009H_M8b_E3_Astrocytes_582_8,1
23,Chrdl1,009H,0.068358839298071,1,009H_M8b_E3_Astrocytes_582_9,1
4,Chrdl1,009H,0.0288538817537129,1,009H_M8b_E3_Astrocytes_582_10,1
7,Chrdl1,009H,0.0362425847054664,1,009H_M8b_E3_Astrocytes_582_11,1
9,Chrdl1,009H,0.0305709555529653,1,009H_M8b_E3_Astrocytes_583_1,1
19,Chrdl1,009H,0.0290222534254476,1,009H_M8b_E3_Astrocytes_583_2,1
8,Chrdl1,009H,0.0739499907448083,1,009H_M8b_E3_Astrocytes_583_3,1
16,Chrdl1,009H,0.0824158566690827,1,009H_M8b_E3_Astrocytes_583_4,1
9,Chrdl1,009H,0.0581716680130519,1,009H_M8b_E3_Astrocytes_583_5,1
0,Chrdl1,009H,0.0276355185441417,1,009H_M8b_E3_Astrocytes_583_6,1
5,Chrdl1,009H,0.0304214244325008,1,009H_M8b_E3_Astrocytes_583_7,1
16,Chrdl1,009H,0.0928830487743912,1,009H_M8b_E3_Astrocytes_583_8,1
33,Chrdl1,009H,0.0862739617247696,1,009H_M8b_E3_Astrocytes_583_10,1
6,Chrdl1,009H,0.0367496012875267,1,009H_M8b_E3_Astrocytes_584_1,1
31,Chrdl1,009H,0.085682320778984,1,009H_M8b_E3_Astrocytes_584_13,1
20,Chrdl1,009H,0.0870632667484024,1,009H_M8b_E3_Astrocytes_611_1,1
3,Chrdl1,009H,0.0309565906305557,1,009H_M8b_E3_Astrocytes_611_2,1
2,Chrdl1,009H,0.0795586225568569,1,009H_M8b_E3_Astrocytes_611_3,1
4,Chrdl1,009H,0.0256430211773705,1,009H_M8b_E3_Astrocytes_611_5,1
13,Chrdl1,009H,0.0483775586559337,1,009H_M8b_E3_Astrocytes_611_6,1
