"slide"	"analysis"	"file"	"Field"	"ObjectNo"	"PositionX_m"	"PositionY_m"	"normalisedDepth"	"segmentation"	"celltype"	"ctxdepthInterval"	"area"	"channel"	"spotcounts"	"genes"	"cell.id"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	1	12	-1652.08	-18727.45	0.471191243220216	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	41	"Igfbp2"	"00NE_M3_E1_1_12"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	1	13	-1492.34	-18740.39	0.347837924134138	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	66	"Igfbp2"	"00NE_M3_E1_1_13"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	3	8	-2148.7	-18662.66	0.856733453315772	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	26	"Igfbp2"	"00NE_M3_E1_3_8"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	3	9	-2169.14	-18725.84	0.855195428019114	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	27	"Igfbp2"	"00NE_M3_E1_3_9"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	4	13	-1802.58	-18726.65	0.585039534305837	"CTX S-BF L5"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	21	"Igfbp2"	"00NE_M3_E1_4_13"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	4	14	-1653.23	-18727.56	0.47204280015991	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	53	"Igfbp2"	"00NE_M3_E1_4_14"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	5	1	-1325.66	-18771.91	0.216037180674859	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	37	"Igfbp2"	"00NE_M3_E1_5_1"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	5	4	-1309.92	-18817.08	0.195783875345252	"CTX S-BF L2-3"	"Astrocytes"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	14	"Igfbp2"	"00NE_M3_E1_5_4"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	5	5	-1272.53	-18836.22	0.163912555338555	"CTX S-BF L2-3"	"Astrocytes"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	25	"Igfbp2"	"00NE_M3_E1_5_5"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	5	6	-1293.94	-18875.51	0.172507020440688	"CTX S-BF L2-3"	"Astrocytes"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	39	"Igfbp2"	"00NE_M3_E1_5_6"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	5	8	-1293.54	-18945.26	0.158365586440799	"CTX S-BF L2-3"	"Astrocytes"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	24	"Igfbp2"	"00NE_M3_E1_5_8"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	5	9	-1334.59	-18976.45	0.182676094338237	"CTX S-BF L2-3"	"Astrocytes"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	53	"Igfbp2"	"00NE_M3_E1_5_9"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	1	-1470.76	-18781.58	0.324025037984343	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	64	"Igfbp2"	"00NE_M3_E1_6_1"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	2	-1410.22	-18790.49	0.276586392690872	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	62	"Igfbp2"	"00NE_M3_E1_6_2"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	5	-1588.66	-18837.08	0.401519832301937	"CTX S-BF L2-3"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	46	"Igfbp2"	"00NE_M3_E1_6_5"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	6	-1348.72	-18855.34	0.217736046127021	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	42	"Igfbp2"	"00NE_M3_E1_6_6"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	7	-1629.56	-18882.13	0.421796686081505	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	73	"Igfbp2"	"00NE_M3_E1_6_7"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	8	-1593.23	-18931.95	0.38389229721364	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	54	"Igfbp2"	"00NE_M3_E1_6_8"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	9	-1436.98	-18965.77	0.261014275998322	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	95	"Igfbp2"	"00NE_M3_E1_6_9"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	10	-1651.13	-18973.89	0.417197377182494	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	57	"Igfbp2"	"00NE_M3_E1_6_10"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	11	-1628.21	-19017.04	0.390883883487321	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	34	"Igfbp2"	"00NE_M3_E1_6_11"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	12	-1369	-19021.55	0.199009986112311	"CTX S-BF L2-3"	"Astrocytes"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	43	"Igfbp2"	"00NE_M3_E1_6_12"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	13	-1484.76	-19051.47	0.278258103368354	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	19	"Igfbp2"	"00NE_M3_E1_6_13"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	7	1	-1725.58	-18779.01	0.5162867817405	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	29	"Igfbp2"	"00NE_M3_E1_7_1"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	7	2	-1927.28	-18783.92	0.663961415687258	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	47	"Igfbp2"	"00NE_M3_E1_7_2"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	7	4	-1808.93	-18803.81	0.572203589677729	"CTX S-BF L5"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	44	"Igfbp2"	"00NE_M3_E1_7_4"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	7	5	-1903.25	-18810.85	0.639805423556957	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	58	"Igfbp2"	"00NE_M3_E1_7_5"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	7	7	-1728.07	-18880.29	0.494843069340635	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	32	"Igfbp2"	"00NE_M3_E1_7_7"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	7	8	-1914.91	-18890.52	0.629154136032437	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	54	"Igfbp2"	"00NE_M3_E1_7_8"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	7	9	-1844.33	-18888.96	0.578050714578718	"CTX S-BF L5"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	47	"Igfbp2"	"00NE_M3_E1_7_9"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	7	10	-1675.08	-18904	0.450450391134976	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	72	"Igfbp2"	"00NE_M3_E1_7_10"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	7	11	-1699.02	-18943.78	0.459053214501724	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	41	"Igfbp2"	"00NE_M3_E1_7_11"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	7	12	-1936.8	-18954.29	0.629776564954331	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	57	"Igfbp2"	"00NE_M3_E1_7_12"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	7	14	-1651.81	-18973.92	0.41768933988647	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	57	"Igfbp2"	"00NE_M3_E1_7_14"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	7	17	-1761.72	-19027.27	0.485086197261272	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	60	"Igfbp2"	"00NE_M3_E1_7_17"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	7	18	-1668.95	-19036.18	0.416434408540856	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	83	"Igfbp2"	"00NE_M3_E1_7_18"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	7	19	-1767.66	-19058.51	0.480715884766821	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	61	"Igfbp2"	"00NE_M3_E1_7_19"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	8	1	-2201.91	-18771.11	0.867225547310907	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	22	"Igfbp2"	"00NE_M3_E1_8_1"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	8	2	-2110.72	-18785.37	0.79745859509252	"CTX S-BF L6"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	29	"Igfbp2"	"00NE_M3_E1_8_2"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	8	3	-2132.03	-18839.08	0.799289173808913	"CTX S-BF L6"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	13	"Igfbp2"	"00NE_M3_E1_8_3"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	8	4	-2036.23	-18853.78	0.72625202623425	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	43	"Igfbp2"	"00NE_M3_E1_8_4"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	8	5	-2166.79	-18867.57	0.817149221740016	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	30	"Igfbp2"	"00NE_M3_E1_8_5"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	8	6	-2136.62	-18894.54	0.788508983049789	"CTX S-BF L6"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	20	"Igfbp2"	"00NE_M3_E1_8_6"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	8	7	-2065.12	-18904.14	0.734719862020641	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	31	"Igfbp2"	"00NE_M3_E1_8_7"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	8	8	-2221.09	-18901.73	0.846866476495362	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	15	"Igfbp2"	"00NE_M3_E1_8_8"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	8	9	-1988.6	-18929.38	0.673274579027598	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	30	"Igfbp2"	"00NE_M3_E1_8_9"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	8	10	-2186.12	-18976.11	0.801822750971166	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	58	"Igfbp2"	"00NE_M3_E1_8_10"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	8	11	-1965.65	-19016.11	0.633452946241574	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	58	"Igfbp2"	"00NE_M3_E1_8_11"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	8	12	-2148.98	-19027.42	0.761407301109478	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	39	"Igfbp2"	"00NE_M3_E1_8_12"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	8	13	-2060.3	-19031	0.697017454305105	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	47	"Igfbp2"	"00NE_M3_E1_8_13"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	8	15	-1966.25	-19055.44	0.62317959499126	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	37	"Igfbp2"	"00NE_M3_E1_8_15"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	8	16	-2233.81	-19058.98	0.813633618234444	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	21	"Igfbp2"	"00NE_M3_E1_8_16"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	9	2	-2308.43	-18803.25	0.935609383350064	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	1	"Igfbp2"	"00NE_M3_E1_9_2"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	9	3	-2283.88	-18822.25	0.9129960501584	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	0	"Igfbp2"	"00NE_M3_E1_9_3"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	9	4	-2332.97	-18916.15	0.923019990203587	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	13	"Igfbp2"	"00NE_M3_E1_9_4"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	9	7	-2352.58	-18962.77	0.924597382659196	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	6	"Igfbp2"	"00NE_M3_E1_9_7"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	9	8	-2258.42	-18981.74	0.852054350970924	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	23	"Igfbp2"	"00NE_M3_E1_9_8"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	11	3	-2553.75	-19182.47	0.976911216320401	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	1	"Igfbp2"	"00NE_M3_E1_11_3"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	11	5	-2566.02	-19250.66	0.95162102784623	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	0	"Igfbp2"	"00NE_M3_E1_11_5"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	12	1	-2370.58	-19089.97	0.900206321270461	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	15	"Igfbp2"	"00NE_M3_E1_12_1"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	12	2	-2510.21	-19137.29	0.968670338844591	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	2	"Igfbp2"	"00NE_M3_E1_12_2"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	12	3	-2553.63	-19182.32	0.976899306741669	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	0	"Igfbp2"	"00NE_M3_E1_12_3"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	12	4	-2350.36	-19194.6	0.843965354867654	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	34	"Igfbp2"	"00NE_M3_E1_12_4"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	12	5	-2439.37	-19213.49	0.892370106954365	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	8	"Igfbp2"	"00NE_M3_E1_12_5"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	12	6	-2494.98	-19216.66	0.925935734332581	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	13	"Igfbp2"	"00NE_M3_E1_12_6"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	12	7	-2294.24	-19235.85	0.791367997465672	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	48	"Igfbp2"	"00NE_M3_E1_12_7"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	12	8	-2414.06	-19242.11	0.864627711908006	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	41	"Igfbp2"	"00NE_M3_E1_12_8"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	12	9	-2542.26	-19249.82	0.938557702399293	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	2	"Igfbp2"	"00NE_M3_E1_12_9"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	12	10	-2400.25	-19354.57	0.806611183406344	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	46	"Igfbp2"	"00NE_M3_E1_12_10"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	12	11	-2521.38	-19356.53	0.874312221658172	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	38	"Igfbp2"	"00NE_M3_E1_12_11"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	12	12	-2327.15	-19365.04	0.759496380801376	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	33	"Igfbp2"	"00NE_M3_E1_12_12"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	13	1	-2235.57	-19065.98	0.813007295602433	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	15	"Igfbp2"	"00NE_M3_E1_13_1"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	13	2	-2146.06	-19108.06	0.737497217842926	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	39	"Igfbp2"	"00NE_M3_E1_13_2"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	13	3	-2100.41	-19152.21	0.692815337417169	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	55	"Igfbp2"	"00NE_M3_E1_13_3"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	13	4	-2050.34	-19161.77	0.654355295670662	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	102	"Igfbp2"	"00NE_M3_E1_13_4"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	13	6	-2165.62	-19250.07	0.703307409865503	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	50	"Igfbp2"	"00NE_M3_E1_13_6"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	13	7	-2034.74	-19254	0.615596160710147	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	50	"Igfbp2"	"00NE_M3_E1_13_7"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	13	8	-2225.93	-19269.39	0.734165019757382	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	40	"Igfbp2"	"00NE_M3_E1_13_8"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	13	9	-2058.5	-19306.3	0.611640011885223	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	52	"Igfbp2"	"00NE_M3_E1_13_9"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	13	10	-2120.33	-19338.12	0.638898336977544	"CTX S-BF L5"	"Astrocytes"	"4"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	98	"Igfbp2"	"00NE_M3_E1_13_10"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	14	3	-1920.29	-19146.32	0.565542750913716	"CTX S-BF L5"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	40	"Igfbp2"	"00NE_M3_E1_14_3"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	14	5	-1721.5	-19196.92	0.409696305491254	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	74	"Igfbp2"	"00NE_M3_E1_14_5"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	14	7	-1833.12	-19241.17	0.477211139948336	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	61	"Igfbp2"	"00NE_M3_E1_14_7"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	14	8	-1682.34	-19252.88	0.366287995782833	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	56	"Igfbp2"	"00NE_M3_E1_14_8"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	14	10	-1652.37	-19331.64	0.323031740982178	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	87	"Igfbp2"	"00NE_M3_E1_14_10"
