"slide"	"analysis"	"file"	"Field"	"ObjectNo"	"PositionX_m"	"PositionY_m"	"normalisedDepth"	"layer"	"ctxdepthInterval"	"area"	"channel"	"spotcounts"	"genes"	"cell.id"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	560	9	-4201.08	-24461.82	0.123700391770234	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	17	"Chrdl1"	"009H_M8b_E2_Astrocytes_560_9"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	563	1	-5020.78	-24194.43	0.154818868108621	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	28	"Chrdl1"	"009H_M8b_E2_Astrocytes_563_1"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	563	2	-5096.2	-24213.11	0.176734326210019	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	35	"Chrdl1"	"009H_M8b_E2_Astrocytes_563_2"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	563	4	-5085.96	-24222.03	0.182948682928697	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	25	"Chrdl1"	"009H_M8b_E2_Astrocytes_563_4"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	563	7	-5021.65	-24328.47	0.261230790312956	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	33	"Chrdl1"	"009H_M8b_E2_Astrocytes_563_7"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	563	9	-5135.65	-24397.35	0.327788521417806	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	58	"Chrdl1"	"009H_M8b_E2_Astrocytes_563_9"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	563	13	-5034.31	-24433.99	0.345830153821436	"L4"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	43	"Chrdl1"	"009H_M8b_E2_Astrocytes_563_13"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	284	9	-5095.47	-16762.42	0.17569872800046	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	28	"Chrdl1"	"009H_M8b_E2_Astrocytes_284_9"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	284	10	-4882.49	-16806.49	0.165616265781811	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	30	"Chrdl1"	"009H_M8b_E2_Astrocytes_284_10"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	284	11	-4889.4	-16854.94	0.199996812069201	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	35	"Chrdl1"	"009H_M8b_E2_Astrocytes_284_11"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	284	12	-5036.92	-16857.51	0.231266142597778	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	20	"Chrdl1"	"009H_M8b_E2_Astrocytes_284_12"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	608	1	-4230.4	-25020.52	0.492872672319659	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	31	"Chrdl1"	"009H_M8b_E2_Astrocytes_608_1"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	608	2	-4270.72	-25029.5	0.516222928896182	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	29	"Chrdl1"	"009H_M8b_E2_Astrocytes_608_2"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	608	4	-4190.16	-25068	0.503186395150861	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	29	"Chrdl1"	"009H_M8b_E2_Astrocytes_608_4"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	608	6	-4158.18	-25110.91	0.513012517778568	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	35	"Chrdl1"	"009H_M8b_E2_Astrocytes_608_6"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	608	7	-4112.31	-25109.94	0.490507468785108	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	9	"Chrdl1"	"009H_M8b_E2_Astrocytes_608_7"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	608	9	-4122.15	-25152.37	0.516573753469529	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	28	"Chrdl1"	"009H_M8b_E2_Astrocytes_608_9"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	608	10	-4144.58	-25148.09	0.526952958750649	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	22	"Chrdl1"	"009H_M8b_E2_Astrocytes_608_10"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	608	15	-4108.71	-25220.73	0.541674351132929	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	27	"Chrdl1"	"009H_M8b_E2_Astrocytes_608_15"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	1	-4078.11	-17475.79	0.266592965151963	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	25	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_1"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	3	-4217.16	-17490.94	0.342834415122299	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	19	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_3"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	5	-4222.35	-17545.25	0.373949613026303	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	16	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_5"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	6	-4210.2	-17552.35	0.371769004611938	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	39	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_6"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	7	-4196.59	-17552.68	0.365296613971542	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	22	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_7"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	8	-4075.96	-17559.88	0.309068544457948	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	32	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_8"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	9	-4097.37	-17585.2	0.332816838137938	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	27	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_9"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	10	-4009.58	-17595.16	0.289939799429957	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	24	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_10"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	11	-4261.51	-17611.35	0.427957811310018	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	22	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_11"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	12	-4220.87	-17635.96	0.421252588432034	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	37	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_12"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	14	-4303.16	-17646.46	0.466778367160705	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	12	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_14"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	16	-4298.76	-17664.44	0.474214060376962	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	31	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_16"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	18	-4190.15	-17692.93	0.434971534223522	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	33	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_18"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	19	-4302.19	-17727.53	0.509542461395834	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	32	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_19"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	20	-4256.73	-17728.24	0.487208571761546	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	14	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_20"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	326	21	-4234.98	-17734.74	0.479280923042812	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	13	"Chrdl1"	"009H_M8b_E2_Astrocytes_326_21"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	261	1	5511.1	1107.97	0.209295723134839	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	26	"Chrdl1"	"009H_M8b_E2_Astrocytes_261_1"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	261	3	5500.47	1092.61	0.195162468485428	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	16	"Chrdl1"	"009H_M8b_E2_Astrocytes_261_3"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	261	5	5449.23	1064.85	0.156264516798668	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	24	"Chrdl1"	"009H_M8b_E2_Astrocytes_261_5"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	614	1	-3989.3	-25307.67	0.513034755802576	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	51	"Chrdl1"	"009H_M8b_E2_Astrocytes_614_1"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	614	2	-3892.68	-25320.97	0.461196543826867	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	55	"Chrdl1"	"009H_M8b_E2_Astrocytes_614_2"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	614	3	-3737.69	-25323.45	0.365245932632114	"L4"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	35	"Chrdl1"	"009H_M8b_E2_Astrocytes_614_3"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	614	4	-3916.7	-25352.24	0.489246774853687	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	35	"Chrdl1"	"009H_M8b_E2_Astrocytes_614_4"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	614	5	-3991.62	-25378.28	0.545392758695971	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	26	"Chrdl1"	"009H_M8b_E2_Astrocytes_614_5"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	614	6	-3841.82	-25416.66	0.468057951309819	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	16	"Chrdl1"	"009H_M8b_E2_Astrocytes_614_6"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	614	7	-3782.15	-25442.65	0.439432744932618	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	22	"Chrdl1"	"009H_M8b_E2_Astrocytes_614_7"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	614	8	-3898.3	-25450.4	0.517404005805217	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	30	"Chrdl1"	"009H_M8b_E2_Astrocytes_614_8"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	614	9	-3933.94	-25455.75	0.542003428894249	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	20	"Chrdl1"	"009H_M8b_E2_Astrocytes_614_9"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	614	10	-3841.86	-25457.32	0.484166718312978	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	11	"Chrdl1"	"009H_M8b_E2_Astrocytes_614_10"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	614	12	-3795.26	-25463.91	0.456123986015953	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	42	"Chrdl1"	"009H_M8b_E2_Astrocytes_614_12"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	614	14	-3822.72	-25498.35	0.487337616727717	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	19	"Chrdl1"	"009H_M8b_E2_Astrocytes_614_14"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	614	15	-3775.52	-25494.72	0.454273400385766	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	30	"Chrdl1"	"009H_M8b_E2_Astrocytes_614_15"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	299	2	-4639.96	-16876.88	0.148399481565345	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	28	"Chrdl1"	"009H_M8b_E2_Astrocytes_299_2"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	299	3	-4655.89	-16891.52	0.162761343586387	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	29	"Chrdl1"	"009H_M8b_E2_Astrocytes_299_3"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	299	5	-4647.43	-16909.39	0.17134013810787	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	15	"Chrdl1"	"009H_M8b_E2_Astrocytes_299_5"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	299	7	-4495.77	-16956.05	0.152141356090446	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	33	"Chrdl1"	"009H_M8b_E2_Astrocytes_299_7"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	299	8	-4571.24	-16965.45	0.182321913088891	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	38	"Chrdl1"	"009H_M8b_E2_Astrocytes_299_8"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	299	9	-4724.12	-16969.07	0.233660934165839	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	24	"Chrdl1"	"009H_M8b_E2_Astrocytes_299_9"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	299	11	-4657.57	-17019.26	0.244016701454759	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	22	"Chrdl1"	"009H_M8b_E2_Astrocytes_299_11"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	299	12	-4444.67	-17068.93	0.199298476310156	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	42	"Chrdl1"	"009H_M8b_E2_Astrocytes_299_12"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	299	13	-4603.2	-17076.94	0.26300874938268	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	28	"Chrdl1"	"009H_M8b_E2_Astrocytes_299_13"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	299	14	-4539.71	-17120.7	0.267251621068065	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	28	"Chrdl1"	"009H_M8b_E2_Astrocytes_299_14"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	299	15	-4545.05	-17140.86	0.281302787697749	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	39	"Chrdl1"	"009H_M8b_E2_Astrocytes_299_15"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	299	16	-4706.03	-17141.07	0.336525907867257	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	26	"Chrdl1"	"009H_M8b_E2_Astrocytes_299_16"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	299	18	-4610.46	-16946.61	0.182999182548473	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	18	"Chrdl1"	"009H_M8b_E2_Astrocytes_299_18"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	581	5	-4116.59	-24550.84	0.150744847771664	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	42	"Chrdl1"	"009H_M8b_E2_Astrocytes_581_5"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	581	6	-4029.86	-24588.76	0.14253721994455	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	27	"Chrdl1"	"009H_M8b_E2_Astrocytes_581_6"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	581	7	-4016.68	-24594.31	0.14113197879914	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	35	"Chrdl1"	"009H_M8b_E2_Astrocytes_581_7"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	581	10	-4026.53	-24682.73	0.199320645742096	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	55	"Chrdl1"	"009H_M8b_E2_Astrocytes_581_10"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	581	11	-3897.65	-24705.36	0.157257720145177	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	43	"Chrdl1"	"009H_M8b_E2_Astrocytes_581_11"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	237	1	5038.7	1768.92	0.31484969615271	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	6	"Chrdl1"	"009H_M8b_E2_Astrocytes_237_1"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	237	2	5051.75	1761.77	0.320087913859449	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	26	"Chrdl1"	"009H_M8b_E2_Astrocytes_237_2"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	237	3	4917.81	1762.18	0.236030069465602	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	51	"Chrdl1"	"009H_M8b_E2_Astrocytes_237_3"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	237	4	5068.55	1756.88	0.328565924125971	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	13	"Chrdl1"	"009H_M8b_E2_Astrocytes_237_4"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	237	5	4870.91	1693.81	0.178930562936007	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	24	"Chrdl1"	"009H_M8b_E2_Astrocytes_237_5"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	237	6	5092.45	1640.68	0.293092279574103	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	25	"Chrdl1"	"009H_M8b_E2_Astrocytes_237_6"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	237	8	4962.88	1598.02	0.197781755972258	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	27	"Chrdl1"	"009H_M8b_E2_Astrocytes_237_8"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	235	2	5428.88	1746.83	0.537800164994978	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	17	"Chrdl1"	"009H_M8b_E2_Astrocytes_235_2"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	235	4	5478.99	1675.55	0.534476490596419	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	14	"Chrdl1"	"009H_M8b_E2_Astrocytes_235_4"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	235	7	5512.98	1512.74	0.461350414770693	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	37	"Chrdl1"	"009H_M8b_E2_Astrocytes_235_7"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	235	8	5446.62	1499.65	0.424958198543605	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	28	"Chrdl1"	"009H_M8b_E2_Astrocytes_235_8"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	332	1	-4303.89	-17730.7	0.51206030837706	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	41	"Chrdl1"	"009H_M8b_E2_Astrocytes_332_1"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	332	2	-4258.38	-17730.77	0.489334341377165	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	23	"Chrdl1"	"009H_M8b_E2_Astrocytes_332_2"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	332	3	-4237.48	-17737.66	0.482048150190933	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	18	"Chrdl1"	"009H_M8b_E2_Astrocytes_332_3"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	332	4	-4110.76	-17752.2	0.420901453714905	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	47	"Chrdl1"	"009H_M8b_E2_Astrocytes_332_4"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	332	5	-4175.53	-17767.17	0.463809677734044	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	31	"Chrdl1"	"009H_M8b_E2_Astrocytes_332_5"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	332	6	-4203.79	-17763.97	0.477495770665385	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	28	"Chrdl1"	"009H_M8b_E2_Astrocytes_332_6"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	332	7	-4287.64	-17785.88	0.532323569966301	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	21	"Chrdl1"	"009H_M8b_E2_Astrocytes_332_7"
