Eif2s3y
Rabep1
Mapk1ip1l
Ankhd1
Ssfa2
Gpr19
Dyrk1a
Chka
Chkb
Thyn1
Gpr37
Mras
Chn1
Bccip
Gm11808
Gm11814
Necap1
Necap2
Chp1
Mpdu1
RP23-468H22.7
Chpf
Tnik
Tnk2
Papola
Gprc5b
1700020I14Rik
Rbbp4
Rbbp6
Rbbp7
Rbbp9
1700003M07Rik
Cox7a2
Slc48a1
Ccar1
Acer3
Chuk
Ndufa10
Ndufa11
Ndufa12
Ndufa13
Aqp4
Zcchc7
Zcchc8
Zcchc9
Srp54b
Tns3
Vezt
Plpp3
Plpp7
Gdpd1
Gdpd2
Mrs2
AK157302
Tm7sf2
Tm7sf3
Fads1
Fads2
Rtfdc1
Senp3
Mtss1l
Senp7
Cib1
Iqsec1
Ptchd2
Ptchd4
Ccndbp1
Rpl13-ps6
1700123O20Rik
Tob1
Ddx17
Rps15a-ps5
Rps15a-ps6
Ddx23
Psma1
Ddx24
Psma2
Psma3
Psma4
Psma5
Psma6
Psma7
Sccpdh
Gm13050
Ipo13
Araf
Psmb1
Psmb2
Psmb3
Psmb4
Psmb5
Psmb6
Ddx39
Psmb7
Ddx42
Psmc1
Psmc2
Ddx46
Psmc3
Ddx47
Psmc4
Psmc5
Psmc6
Dpy30
Qars
Myeov2
Ddx50
Psmd1
Psmd2
Rbck1
Psmd3
Psmd4
Psmd5
Psmd6
Psmd7
Psmd8
Ddx3y
Psmd9
Gm13080
Sh3bp1
Psme2
Arf1
Arf4
Cuedc1
Arf5
Cuedc2
Psmg2
Gm6055
Ampd2
Cipc
Gm6063
Dfna5
Rnf10
Rnf13
Rnf14
Msi1
Rab33b
Gria2
Msi2
Gm11953
Tom1
Rnf20
Gm11960
Gm11964
Gm11966
Arl1
Arl2
Arl3
Puf60
Rnf34
Frmd4a
Mgrn1
Elavl1
Herpud1
Herpud2
Rnf44
Gm4929
Top1
Gm11993
Ndufb10
Ndufb11
3110002H16Rik
Igfbp2
Spred1
Arnt
Tax1bp1
Gm4950
Camk2d
Camk2g
Mmadhc
Fbxo18
Fbxo21
Arsa
Arsb
Npdc1
Fbxo44
Tox2
Tox4
Rps27rt
Bmp2k
Tpm3-rs7
Grina
Cdkn1b
AI413582
Bnip3l-ps
Timm8a1
Spire1
Gm13111
Gm13127
Dcaf6
Dcaf8
Eapp
Xpnpep1
Asb8
Ndufab1
Mta2
Akr7a5
Entpd2
Entpd6
Clptm1l
Gm6123
Gm28437
Gm28439
Mbnl1
